nr_rejestracyjny	marka	rok_produkcji	id_wlasciciela
SBE 9124	ford	2013	234
SRC 5504	opel	2013	614
SH 8875	renault	2009	751
SG 6806	mercedes	2013	352
SO 1125	fiat	2017	777
SZ 3851	lancia	2011	134
SPI 9074	opel	2023	59
SH 4878	skoda	2021	644
SO 9311	skoda	2022	138
STA 1074	mazda	2015	843
SH 6988	opel	2016	257
SK 4850	opel	2017	755
SR 2781	fiat	2013	668
SPI 7574	saab	2022	625
SRC 7505	peugeot	2022	374
SY 2101	volkswagen	2013	23
SI 9966	peugeot	2012	184
ST 4102	renault	2019	460
SO 5847	chrysler	2017	894
SZA 7625	skoda	2015	363
SBE 6814	fiat	2011	818
SR 6664	ford	2022	82
SK 5785	fiat	2010	220
SZA 4506	opel	2015	727
SO 8098	daewoo	2021	894
SR 3086	honda	2015	171
SI 9104	skoda	2010	580
SG 1593	skoda	2010	461
SWD 3901	honda	2012	771
SD 1218	fiat	2013	518
SD 8455	renault	2018	693
SD 8992	chrysler	2014	111
BZA 2012	toyota	2014	128
CSW 6689	ford	2017	362
SZA 4791	renault	2015	805
SBE 4793	fiat	2019	839
SG 4105	fiat	2014	271
SD 4996	fiat	2020	893
BI 3205	skoda	2011	816
CT 1000	toyota	2015	109
SO 9092	peugeot	2011	422
SH 4055	opel	2016	619
SO 2356	ford	2020	424
SK 1243	fiat	2021	317
ST 5816	skoda	2017	434
SPI 2462	ford	2009	321
SB 3799	honda	2015	897
SY 2160	opel	2013	860
SB 9213	audi	2018	897
SGL 3045	ford	2022	102
SH 3033	skoda	2019	551
ESK 6567	renault	2009	570
SG 3348	lancia	2013	189
SG 7149	opel	2010	481
SL 6491	renault	2012	603
SGL 6417	mazda	2009	654
DST 9288	skoda	2020	450
SY 5559	skoda	2010	329
FSW 2058	fiat	2015	335
SH 3545	peugeot	2017	899
SL 3214	opel	2010	589
ZS 4850	daewoo	2014	531
SCZ 8198	lancia	2019	232
SZ 6122	opel	2010	873
SR 6346	opel	2021	642
SK 3945	renault	2021	744
SGL 6067	lancia	2020	62
SY 1697	renault	2014	875
SZ 9360	seat	2015	638
SB 6439	renault	2013	666
SR 7644	fiat	2014	353
SB 9722	renault	2011	29
SB 5822	skoda	2018	897
